ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"112.2.34.103","elite","AS56046","CN","China Mobile Communications Corporation","273","China Mobile Communications Corporation","10800","socks4","5000","1","2026-02-14T17:45:02.016Z","94","10786","11475"
"200.85.137.1","elite","AS265708","AR","WARI.NET COMUNICACIONES S.R.L","304","WARI.NET COMUNICACIONES S.R.L","4153","socks4","3995","1","2026-02-14T17:45:02.013Z","97","4656","4782"
"118.174.65.251","elite","AS23969","TH","TOT Public Company Limited","201","TOT Public Company Limited","4145","socks4","3518","1","2026-02-14T17:45:02.021Z","98","11350","11542"
"185.138.123.78","elite","AS203217","IQ","Horizon Scope Mobile Telecom WLL","85","N/A","61896","socks4","209","1","2026-02-14T17:45:02.020Z","94","10735","11443"
"95.64.144.66","elite","AS8359","RU","MTS PJSC","51","Customers P2P 2022 00 WAN","1080","socks4","3610","1","2026-02-14T17:45:01.937Z","100","11530","11544"
"218.159.202.163","elite","AS4766","KR","Korea Telecom","270","N/A","1080","socks4","5121","1","2026-02-14T17:45:01.940Z","99","3182","3209"
"45.249.101.1","elite","AS135411","BD","Red Grapes Pte Ltd","219","N/A","56457","socks4","3773","1","2026-02-14T17:45:01.937Z","98","11321","11586"
"83.17.222.146","elite","AS5617","PL","Orange Polska Spolka Akcyjna","27","Orange Polska S.A.","5678","socks4","3603","1","2026-02-14T17:44:27.448Z","94","4481","4753"
"192.241.249.237","elite","AS14061","US","DigitalOcean, LLC","80","Digital Ocean","41745","socks4","3889","1","2026-02-14T17:44:27.513Z","100","11457","11485"
"47.110.54.122","elite","AS37963","CN","Hangzhou Alibaba Advertising Co","221","Aliyun Computing Co., LTD","1080","socks4","678","1","2026-02-14T17:44:27.443Z","97","1814","1870"
"69.27.150.166","elite","AS394541","US","Professional Value Internet Services, Inc","123","KAMO Electric Cooperative","5678","socks4","3887","1","2026-02-14T17:44:27.441Z","99","11308","11442"
"202.124.33.165","elite","AS133200","KH","NeocomISP Limited","205","NeocomISP Limited","5678","socks4","4905","1","2026-02-14T17:44:27.447Z","99","11292","11381"
"94.154.152.112","elite","AS209839","AL","Luva Group Sh.p.k.","34","N/A","8079","socks4","4595","60","2026-02-14T17:44:27.450Z","100","948","950"
"85.172.0.30","elite","AS25490","RU","Southen Telecommunication Maintainer","71","OJSC Rostelecom Macroregional Branch South","8080","socks4","4575","1","2026-02-14T17:44:27.912Z","100","2986","2997"
"68.36.157.141","elite","AS7922","US","Comcast Cable Communications, LLC","120","Comcast Cable Communications, Inc.","3128","socks4","2787","1","2026-02-14T17:44:27.449Z","94","4525","4816"
"8.213.129.2","elite","AS45102","KR","Alibaba (US) Technology Co., Ltd.","229","Alibaba.com Singapore E-Commerce Private Limited","3127","socks4","4889","1","2026-02-14T17:44:27.447Z","100","964","965"
"190.109.168.99","elite","AS13489","CO","EPM Telecomunicaciones S.A. E.S.P.","159","UNE EPM TELECOMUNICACIONES S.A","58356","socks4","2981","1","2026-02-14T17:44:27.447Z","98","544","553"
"176.31.110.126","elite","AS16276","FR","OVH SAS","62","OVH SAS","45517","socks4","2775","1","2026-02-14T17:44:04.330Z","100","4225","4231"
"192.140.42.80","elite","AS266208","BR","Allfiber Telecom Serviços de Telecomunicações","258","Allfiber Telecom Serviços de Telecomunicações","4153","socks4","3989","1","2026-02-14T17:44:04.224Z","99","4442","4502"
"66.29.138.168","elite","AS22612","US","Namecheap, Inc.","154","Namecheap, Inc.","52904","socks4","3397","65","2026-02-14T17:44:04.222Z","97","3428","3532"
"46.107.230.122","elite","AS58098","HU","Szatmarnet","27","N/A","1080","socks4","2171","1","2026-02-14T17:44:04.236Z","99","434","440"
"190.92.159.141","elite","AS55293","US","A2 Hosting, Inc.","97","A2 Hosting, Inc.","48053","socks4","4608","1","2026-02-14T17:44:04.332Z","99","4591","4656"
"149.20.253.66","elite","AS18615","US","Mainstream Fiber Networks, LLC","99","Mainstream Fiber Networks, LLC","12551","socks4","4503","1","2026-02-14T17:44:04.239Z","100","11460","11479"
"64.146.223.193","elite","AS7799","US","Olypen, Inc.","148","Northwest Open Access Network","64312","socks4","2284","1","2026-02-14T17:44:04.237Z","99","4216","4241"
"154.194.132.199","elite","AS139880","HK","OWGELS INTERNATIONAL CO., LIMITED","288","Starbow Ltd","1080","socks4","4196","1","2026-02-14T17:44:04.225Z","100","3009","3024"
"47.117.66.38","elite","AS37963","CN","Hangzhou Alibaba Advertising Co., Ltd.","259","Alibaba.com LLC","8118","socks4","3397","1","2026-02-14T17:44:04.228Z","96","4071","4224"
"49.0.246.130","elite","AS136907","HK","Huawei International Pte. LTD","182","N/A","443","socks4","5014","1","2026-02-14T17:44:04.225Z","99","3955","3977"
"206.189.9.30","elite","AS14061","NL","DigitalOcean, LLC","23","DigitalOcean, LLC","42331","socks5","3723","1","2026-02-14T17:44:04.333Z","100","11465","11467"
"188.165.226.128","elite","AS16276","FR","OVH SAS","63","OVH ISP","59307","socks5","2090","1","2026-02-14T17:44:04.334Z","99","4770","4816"
"198.98.57.206","elite","AS53667","US","FranTech Solutions","85","FranTech Solutions","30234","socks4","43","1","2026-02-14T17:44:04.229Z","99","842","851"
"103.141.189.62","elite","AS9341","ID","PT Indonesia Comnets Plus","171","N/A","5678","socks4","4286","1","2026-02-14T17:43:45.035Z","97","4573","4736"
"129.226.90.34","elite","AS132203","SG","Tencent Cloud Computing (Beijing) Co","153","Aceville Pte.ltd","443","socks5","2908","1","2026-02-14T17:43:45.038Z","93","10717","11485"
"150.158.145.67","elite","AS45090","CN","Shenzhen Tencent Computer Systems Company Limited","263","Tencent Cloud Computing (Beijing) Co., Ltd","2080","socks4","4491","1","2026-02-14T17:43:45.038Z","95","1460","1535"
"204.217.129.117","elite","AS11572","US","PhoenixNAP LLC","104","Aventice LLC","5433","socks4","3200","65","2026-02-14T17:43:45.043Z","99","3088","3125"
"100.1.53.24","elite","AS701","US","Verizon Business","97","Verizon Business","5678","socks4","2818","1","2026-02-14T17:43:45.036Z","100","4752","4762"
"45.33.21.96","elite","AS63949","US","Akamai Technologies, Inc.","122","Linode","42898","socks4","96","1","2026-02-14T17:43:45.041Z","100","4224","4230"
"187.210.136.88","elite","AS8151","MX","UNINET","176","UNINET","4153","socks4","5803","1","2026-02-14T17:43:45.033Z","99","11392","11454"
"200.80.227.234","elite","AS11664","AR","Telmex Argentina S.A","283","Hipodromo Argentino De Palermo S.a. - Casino Club","4145","socks4","2481","95","2026-02-14T17:43:45.025Z","100","4767","4778"
"217.115.115.252","elite","AS30900","IE","Sternforth Ltd. trading as WebWorld","28","Webworld","56792","socks5","1412","1","2026-02-14T17:43:45.130Z","97","11094","11443"
"175.29.131.46","elite","AS7029","US","Windstream Communications LLC","103","N/A","5433","socks4","4107","1","2026-02-14T17:43:45.024Z","98","1790","1835"
"91.149.242.220","elite","AS26383","ES","Baxet Group Inc.","36","Baxet Group Inc","1080","socks5","4295","1","2026-02-14T17:43:45.130Z","98","4580","4680"
"192.169.179.253","elite","AS398101","US","GoDaddy.com, LLC","144","GoDaddy.com, LLC","56111","socks4","5093","1","2026-02-14T17:43:45.037Z","100","1779","1782"
"85.198.151.178","elite","AS6702","UA","Science Production Company \"Trifle\" Ltd.","40","Apex","1080","socks4","4085","87","2026-02-14T17:43:22.016Z","99","11329","11450"
"220.249.79.138","elite","AS9929","CN","CNC Group CHINA169 Hubei Province Network","198","N/A","10109","socks4","3804","76","2026-02-14T17:43:22.015Z","95","10866","11484"
"185.95.0.197","elite","AS201520","TR","Dedicated-Telekom","42","Dedicated Telekomunikasyon Teknoloji Hiz. Tic. San. LTD. STI","28202","socks4","2593","1","2026-02-14T17:43:22.017Z","97","2797","2870"
"149.20.253.103","elite","AS18615","US","Mainstream Fiber Networks, LLC","99","Mainstream Fiber Networks, LLC","12551","socks4","984","1","2026-02-14T17:43:22.015Z","100","11541","11552"
"103.200.135.226","elite","AS134739","MM","AGB Communication Co., Ltd","179","AGB Communication Co., Ltd","4145","socks4","3800","1","2026-02-14T17:43:21.922Z","98","4594","4697"
"142.54.229.249","elite","N/A","US","Performive LLC","185","N/A","4145","socks4","4078","1","2026-02-14T17:43:21.918Z","96","902","943"
"49.48.93.179","elite","AS45758","TH","Triple T Broadband Public Company Limited","185","Triple T Broadband Public Company Limited","8080","socks4","3703","1","2026-02-14T17:43:21.927Z","96","4462","4634"
"36.111.191.127","elite","AS58519","CN","Cloud Computing Corporation","276","Chinanet ZJ","1080","socks4","3890","1","2026-02-14T17:43:21.923Z","93","4479","4798"
"104.200.16.220","elite","AS63949","US","Akamai Technologies, Inc.","118","Linode","61922","socks4","3726","1","2026-02-14T17:42:50.150Z","100","3582","3594"
"190.0.22.34","elite","AS13489","CO","EPM Telecomunicaciones S.A. E.S.P.","149","EPM Telecomunicaciones S.A. E.S.P","61155","socks4","3444","1","2026-02-14T17:42:50.116Z","99","11463","11529"
"202.6.224.52","elite","AS23756","ID","Padi Internet","179","N/A","1080","socks4","4696","1","2026-02-14T17:42:50.116Z","98","11323","11535"
"45.70.237.131","elite","AS52468","EC","Ufinet Panama S.A.","178","Negocios Y Telefonia Nedetel S.A","4145","socks4","4685","1","2026-02-14T17:42:50.120Z","98","11203","11425"
"207.244.89.166","elite","AS30633","US","Leaseweb USA","92","Cooley, Manion, Moore & Jones, LLP","425","socks4","2092","1","2026-02-14T17:42:50.113Z","96","2875","2990"
"207.180.219.93","elite","AS51167","FR","Contabo GmbH","6","Contabo GmbH","45225","socks4","2077","1","2026-02-14T17:42:50.149Z","100","1397","1402"
"51.79.166.151","elite","AS16276","SG","OVH SAS","237","OVH Singapore PTE. LTD","10084","socks4","2401","1","2026-02-14T17:42:50.122Z","100","11423","11469"
"60.223.244.119","elite","AS4837","CN","China Unicom China169 Network","312","N/A","10800","socks4","194","1","2026-02-14T17:42:50.046Z","94","10651","11359"
"185.248.144.97","elite","AS209847","IT","WorkTitans B.V.","25","WorkTitans B.V","8443","socks4","2893","1","2026-02-14T17:42:50.211Z","99","800","806"
"51.161.33.206","elite","AS16276","CA","OVH SAS","92","OVH Hosting, Inc.","40132","socks4","2696","1","2026-02-14T17:42:50.121Z","100","4791","4794"
"38.177.156.213","elite","AS398478","US","PEG TECH INC","191","PEG TECH INC","28080","socks4","1132","1","2026-02-14T17:42:50.120Z","99","1135","1143"
"199.233.238.6","elite","AS46261","US","QuickPacket, LLC","145","QuickPacket, LLC","4238","socks4","1678","1","2026-02-14T17:42:50.113Z","96","1412","1476"
"51.161.33.55","elite","AS16276","CA","OVH SAS","98","OVH Hosting, Inc.","80","socks4","3107","1","2026-02-14T17:42:26.036Z","100","1717","1720"
"14.225.42.208","elite","AS135905","VN","Vietnam Posts and Telecommunications Group","242","VNPT","6666","socks4","4996","1","2026-02-14T17:42:26.031Z","98","2725","2782"
"119.46.2.250","elite","AS7470","TH","True Internet Corporation CO. Ltd.","199","True Internet Co., Ltd.","4145","socks4","1479","1","2026-02-14T17:42:26.028Z","99","4720","4762"
"23.19.244.109","elite","AS396362","US","Leaseweb USA, Inc.","83","LeaseWeb USA, Inc. New York","1080","socks4","4299","1","2026-02-14T17:42:26.216Z","100","4709","4712"
"193.192.177.192","elite","AS202050","PL","STIMO.NET SP. Z O.O.","30","STIMO Sp. z o.o.","80","socks4","3102","1","2026-02-14T17:42:26.023Z","100","2364","2365"
"197.234.13.14","elite","AS36902","SC","Intelvision","120","Intelvision Ltd","4145","socks4","4192","1","2026-02-14T17:42:26.037Z","99","11409","11504"
"203.34.28.148","elite","AS209242","VG","Cloudflare London, LLC","7","Anaga Consulting Limited","80","socks4","893","1","2026-02-14T17:42:26.034Z","100","11466","11468"
"47.253.214.60","elite","AS45102","US","Alibaba Cloud LLC","86","Alibaba Cloud - US","1080","socks4","4716","1","2026-02-14T17:42:26.025Z","99","4398","4447"
"94.154.31.136","elite","AS197833","PL","Slawomir Zapart trading as ZAPNET KAROL ZAPART Sp.j","30","ZapNet Karol Zapart sj","2114","socks4","4412","1","2026-02-14T17:42:26.217Z","97","11145","11519"
"107.180.93.131","elite","AS398101","US","GoDaddy.com, LLC","143","GoDaddy.com, LLC","4217","socks4","5002","1","2026-02-14T17:42:26.026Z","100","4597","4599"
"92.42.8.5","elite","AS44963","RU","KMVtelecom","62","JSC PP Potok","4145","socks4","4294","1","2026-02-14T17:42:26.031Z","99","4185","4211"
"112.213.87.154","elite","AS45544","VN","Vietnam Internet Network Information Center","187","Super Online Data Co., Ltd","8080","socks4","3199","1","2026-02-14T17:42:26.028Z","99","723","729"
"163.53.205.161","elite","AS58898","IN","Rainbow communications India Pvt Ltd","200","Rainbow communications India Pvt Ltd","4153","socks4","4921","1","2026-02-14T17:42:26.027Z","99","11490","11558"
"182.253.140.250","elite","AS17451","ID","Biznet Networks","190","Wifi","5678","socks4","4809","1","2026-02-14T17:42:26.035Z","99","902","915"
"200.85.52.254","elite","AS23201","PY","Telecel S.A.","210","Telecel S.A","5678","socks4","601","1","2026-02-14T17:42:26.033Z","100","4762","4785"
"186.226.56.127","elite","AS262954","BR","VirtuaServer Informatica Ltda","206","VirtuaServer Informatica Ltda","20809","socks4","4423","1","2026-02-14T17:42:26.037Z","99","1191","1197"
"67.227.186.23","elite","AS32244","US","Liquid Web, L.L.C","132","SourceDNS","64153","socks4","295","1","2026-02-14T17:42:26.024Z","99","2818","2834"
"212.69.128.72","elite","AS202921","CZ","CC INTERNET s.r.o.","15","CC INTERNET s.r.o.","5678","socks4","1177","1","2026-02-14T17:42:06.516Z","93","4423","4770"
"103.10.99.110","elite","AS18103","ID","Neuviz","184","N/A","5678","socks4","4698","1","2026-02-14T17:42:06.427Z","99","4742","4801"
"45.128.232.224","elite","AS50053","NL","Anton Levin","38","Individual Entrepreneur Anton Levin","30584","socks4","4977","1","2026-02-14T17:42:06.518Z","99","1750","1764"
"103.86.1.255","elite","AS136371","IN","Airwir Technologies Private Limited","192","Airwir Technologies Private Limited","4145","socks4","3185","1","2026-02-14T17:42:06.423Z","100","2328","2335"
"202.50.202.65","elite","AS55696","ID","PT Starcom Solusindo","172","N/A","48617","socks4","2702","1","2026-02-14T17:42:06.425Z","99","11302","11460"
"87.121.77.130","elite","AS60784","BG","Neterra Ltd.","38","N/A","4145","socks4","4217","1","2026-02-14T17:42:06.517Z","100","2820","2830"
"213.136.75.85","elite","AS51167","FR","Contabo GmbH","10","Contabo GmbH","50573","socks4","4312","1","2026-02-14T17:42:06.516Z","100","4830","4834"
"136.226.215.107","elite","AS62044","ES","Zscaler Switzerland GmbH","33","Zscaler, Inc","8080","socks4","4306","1","2026-02-14T17:42:06.421Z","97","4140","4258"
"1.32.59.217","elite","AS4788","MY","TM TECHNOLOGY SERVICES SDN BHD","167","Unifi BIZ","31981","socks4","4992","1","2026-02-14T17:42:06.429Z","100","1572","1574"
"23.94.17.36","elite","AS36352","US","HostPapa","94","RackNerd LLC","3198","socks4","4782","1","2026-02-14T17:42:06.432Z","99","1620","1636"
"3.33.246.86","elite","AS16509","CA","Amazon.com, Inc.","11","AWS Global Accelerator (GLOBAL)","8080","socks4","802","1","2026-02-14T17:42:06.430Z","100","2196","2197"
"171.5.12.15","elite","AS45629","TH","Triple T Broadband Public Company Limited","199","Triple T Broadband Public Company Limited","4153","socks4","4582","1","2026-02-14T17:41:36.339Z","98","3845","3909"
"185.75.161.118","elite","AS204373","PL","POLINEO Sp. z o.o.","59","Polineo","5678","socks4","4490","1","2026-02-14T17:41:36.425Z","99","11394","11565"
"187.252.154.90","elite","AS28545","MX","Cablemas Telecomunicaciones SA de CV","149","Cablemas Telecomunicaciones SA de CV","4153","socks4","1264","1","2026-02-14T17:41:36.335Z","97","4699","4839"
"103.55.104.209","elite","AS133989","IN","SBR Telecom Pvt. Ltd","231","SBR Telecom Pvt. Ltd","4153","socks4","3497","1","2026-02-14T17:41:36.340Z","100","11416","11437"
"103.234.26.74","elite","AS38200","BD","BTS Communications (BD) Ltd","251","Btscombd","1080","socks4","4074","1","2026-02-14T17:41:36.341Z","95","4482","4714"
"37.19.65.75","elite","AS22773","US","Cox Communications Inc.","123","siaIT","5432","socks5","4118","65","2026-02-14T17:41:36.333Z","99","11242","11405"
"103.23.41.110","elite","AS58923","BD","InterCloud ltd","305","InterCloud ltd","30058","socks4","1301","1","2026-02-14T17:41:36.326Z","98","4521","4615"
"202.159.107.1","elite","AS9340","ID","PT IndoInternet","163","N/A","443","socks4","1930","61","2026-02-14T17:41:36.341Z","99","11401","11486"
"211.174.105.18","elite","AS4766","KR","Korea Telecom","283","Netropy","4153","socks4","4188","1","2026-02-14T17:41:36.342Z","100","11441","11477"
"45.227.92.213","elite","AS266653","AR","Andros-net Comunicaciones S.R.L.","230","Andros-net Comunicaciones S.R.L","8080","socks4","2816","1","2026-02-14T17:41:36.333Z","98","11243","11466"
